Age,Gender,Education Level,Job Title,Years of Experience,Salary,Date
32,Male,Bachelor's,Software Engineer,5,90000,11/7/2016 11:51
28,Female,Master's,Data Analyst,3,65000,11/7/2016 17:57
45,Male,PhD,Senior Manager,15,150000,12/7/2016 9:17
36,Female,Bachelor's,Sales Associate,7,60000,12/7/2016 21:08
52,Male,Master's,Director,20,200000,13-07-2016 08:33:16
29,Male,Bachelor's,Marketing Analyst,2,55000,13-07-2016 21:57:28
42,Female,Master's,Product Manager,12,120000,14-07-2016 06:15:32
31,Male,Bachelor's,Sales Manager,4,80000,15-07-2016 05:11:52
26,Female,Bachelor's,Marketing Coordinator,1,45000,15-07-2016 17:57:27
38,Male,PhD,Senior Scientist,,110000,11/7/2016 6:46
29,Male,Master's,Software Developer,3,75000,12/7/2016 5:08
48,Female,Bachelor's,HR Manager,18,140000,12/7/2016 12:30
35,Male,Bachelor's,Financial Analyst,6,65000,13-07-2016 04:49:20
40,Female,Master's,Project Manager,14,130000,13-07-2016 08:02:53
27,Male,Bachelor's,Customer Service Rep,2,40000,13-07-2016 14:23:02
44,Male,Bachelor's,Operations Manager,16,125000,13-07-2016 17:23:18
33,Female,Master's,Marketing Manager,7,90000,14-07-2016 12:01:02
39,Male,PhD,Senior Engineer,12,115000,14-07-2016 22:24:13
25,Female,Bachelor's,Data Entry Clerk,0,35000,11/7/2016 10:00
51,Male,Bachelor's,Sales Director,22,180000,11/7/2016 18:45
34,Female,Master's,Business Analyst,5,80000,12/7/2016 11:17
47,Male,Master's,VP of Operations,19,190000,12/7/2016 15:46
30,Male,Bachelor's,IT Support,2,50000,12/7/2016 18:00
36,Female,Bachelor's,,9,60000,13-07-2016 08:17:29
41,Male,Master's,Financial Manager,13,140000,13-07-2016 21:54:18
28,,Bachelor's,Social Media Specialist,3,45000,14-07-2016 21:23:03
37,Female,Master's,Software Manager,11,110000,15-07-2016 02:41:38
24,Male,Bachelor's,Junior Developer,1,40000,15-07-2016 10:00:43
43,Female,PhD,Senior Consultant,15,140000,11/7/2016 13:08
33,Male,Master's,Product Designer,6,90000,12/7/2016 6:21
50,Male,Bachelor's,CEO,25,250000,12/7/2016 9:27
31,Female,Bachelor's,Accountant,4,55000,12/7/2016 16:09
29,Male,Master's,Data Scientist,3,75000,13-07-2016 05:34:20
39,Female,Bachelor's,Marketing Specialist,10,65000,13-07-2016 19:57:59
46,Male,PhD,Senior Manager,20,170000,14-07-2016 02:17:35
27,Male,Bachelor's,Technical Writer,2,45000,14-07-2016 13:01:10
35,Female,Bachelor's,HR Generalist,7,60000,15-07-2016 08:30:06
42,Male,Master's,Project Engineer,14,115000,15-07-2016 15:01:20
26,Female,Bachelor's,Customer Success Rep,1,40000,11/7/2016 7:27
49,Male,Bachelor's,Sales Executive,21,160000,11/7/2016 11:03
34,Female,Master's,UX Designer,5,80000,11/7/2016 20:58
48,Male,Master's,Operations Director,18,190000,12/7/2016 8:40
30,Male,Bachelor's,Network Engineer,3,60000,12/7/2016 14:48
36,Female,Bachelor's,Administrative Assistant,8,45000,12/7/2016 21:32
41,Male,Master's,Strategy Consultant,13,130000,13-07-2016 07:28:14
28,Female,Bachelor's,Copywriter,2,40000,13-07-2016 12:14:27
32,Male,Bachelor's,Account Manager,5,75000,14-07-2016 06:43:01
45,Female,Master's,Director of Marketing,16,180000,15-07-2016 09:08:50
38,Male,PhD,Senior Scientist,11,120000,15-07-2016 22:41:41
25,Male,Bachelor's,Help Desk Analyst,0,35000,12/7/2016 5:45
51,Female,Bachelor's,Customer Service Manager,22,130000,12/7/2016 13:02
33,Male,Master's,Business Intelligence Analyst,,85000,13-07-2016 06:50:33
40,Female,Bachelor's,Event Coordinator,12,60000,13-07-2016 21:53:03
47,Male,Master's,VP of Finance,19,200000,14-07-2016 02:37:14
29,Female,Bachelor's,Graphic Designer,3,50000,14-07-2016 14:50:07
36,Male,Bachelor's,Sales Manager,9,95000,14-07-2016 21:33:55
27,Female,Master's,UX Researcher,2,65000,15-07-2016 00:03:39
43,Male,PhD,Senior Engineer,17,140000,15-07-2016 07:52:51
30,Female,Bachelor's,Social Media Manager,4,55000,15-07-2016 14:28:50
35,Male,Master's,Product Manager,7,105000,11/7/2016 19:31
51,Female,Master's,Director of Operations,23,170000,11/7/2016 22:07
29,Male,Bachelor's,Marketing Analyst,3,50000,12/7/2016 20:39
40,Female,Bachelor's,HR Manager,12,80000,14-07-2016 03:39:38
47,Male,PhD,Senior Data Scientist,21,180000,14-07-2016 09:11:13
26,Male,Bachelor's,Junior Accountant,1,35000,14-07-2016 18:52:32
38,Female,Master's,Digital Marketing Manager,10,90000,15-07-2016 09:50:28
46,Male,Bachelor's,IT Manager,19,120000,15-07-2016 15:50:15
31,Female,Bachelor's,Customer Service Representative,5,45000,11/7/2016 8:18
34,Male,Master's,Business Development Manager,8,90000,11/7/2016 19:39
49,Female,Master's,Senior Financial Analyst,18,150000,12/7/2016 8:57
33,Male,Bachelor's,Web Developer,6,65000,12/7/2016 21:05
39,Female,Bachelor's,Recruiter,11,70000,13-07-2016 10:22:07
45,Male,PhD,Research Director,16,190000,14-07-2016 11:55:10
28,Male,Bachelor's,Technical Support Specialist,2,40000,11/7/2016 9:08
42,Female,Master's,Creative Director,14,120000,11/7/2016 17:46
37,Male,Bachelor's,Project Manager,10,95000,11/7/2016 23:39
50,Female,Bachelor's,Operations Manager,22,160000,12/7/2016 5:13
32,Male,Master's,Senior Software Engineer,6,100000,12/7/2016 18:20
48,Female,Master's,Human Resources Director,20,180000,13-07-2016 08:04:57
30,Female,Bachelor's,Content Marketing Manager,3,55000,13-07-2016 17:03:30
36,Male,Bachelor's,Technical Recruiter,8,70000,13-07-2016 20:41:24
41,Female,Master's,Data Analyst,13,80000,13-07-2016 23:58:41
